Entry;Score
Q84296;1
Q88898;1
P21009;1
P27413;1
O36359;1
O36359;1
W6JGV7;1
A4ZUA8;1
O36394;1
O36422;1
P0C2P7;1
P0DSS9;1
P11282;1
P14371;1
P35770;1
P52475;1
Q00112;1
Q01053;1
Q65129;1
Q66675;1
Q6GZP0;1
Q83048;1
Q84361;2
Q8BDD9;1
Q8V6W4;1
Q9E6L9;1
Q9QR70;1
P54890;1
P69469;1
P41723;1
A4KXK0;1
P21106;1
P0DSX3;1
P17364;1
P22654;1
P0CA49;1
Q89768;1
Q9J507;1
Q69567;1
Q3LZX5;1
A0A7H0DND6;1
D8V073;1
O10347;1
O10359;1
O36397;1
O55717;1
O57167;1
O57249;1
P09707;1
P0C2R8;1
P0C752;1
P0C9G0;1
P0C9V3;1
P0CA18;1
P0CAA5;1
P13093;1
P15632;1
P15895;1
P16597;1
P16738;1
P16746;1
P16777;1
P19898;1
P20195;1
P20196;1
P24438;1
P0DTF1;1
P0DTG1;1
P0DTG0;1
P0DTD3;1
A0A663DJA2;1
B3SRV0;1
Q805P6;1
Q805P9;1
Q805K5;1
Q805H2;1
Q805M1;1
Q805H0;1
P18379;1
P18380;1
P68464;1
P0CK19;1
P24760;1
P24762;1
Q80HU3;1
P26673;1
P0CK24;1
Q01226;1
Q76ZL3;1
Q01229;1
P21075;1
P03412;1
P05075;1
P05668;1
P08349;1
P0C9M1;1
P0C9S5;1
P0C9T2;1
P0CAL2;1
P15778;1
P16607;1
P16817;1
P16828;1
P19230;1
P26035;1
P68490;1
Q0Q4F0;1
Q18LE4;1
Q67669;1
Q91A25;1
P03414;1
P06461;1
P0C728;1
P0C733;1
P0C785;1
P0C9L1;1
P03163;1
P03164;1
P0C545;1
P15201;1
P20841;1
P20842;1
P36695;1
Q08591;1
Q03068;1
A4KXB3;1
A0A7H0DN24;1
A2T3R0;1
A4ZUA3;1
C1JJY5;1
F5HES7;1
O10332;1
O36384;1
P0C5B5;1
P24035;1
P24912;1
P27946;1
Q06VD9;1
Q88425;1
P68487;1
Q6GZV3;1
Q6R7F5;1
Q77ZF7;1
Q91MU3;1
P0C9W4;1
P68347;1
Q6R797;1
O10317;1
Q6R7H2;1
Q8V2Z3;1
Q6SW55;1
Q6R7K8;1
C0H677;2
F5HGT1;2
O41648;2
P0DJZ4;2
P0DOM9;2
P0DSV4;2
P0DTA5;2
W6JGV7;2
P12505;2
P32932;2
P56260;2
P68830;2
Q65197;2
A7U6E9;2
M1LLA2;2
P0DJT5;2
P0DKA5;2
Q06925;2
Q98166;2
Q9WIB9;2
A8C8J9;2
D3YPD5;2
F5HB98;2
F5HHQ0;2
A0A1W6I186;2
P69267;2
P69612;2
P84402;2
Q00104;2
Q66916;2
Q6Q1S0;2
Q6SVX3;2
Q80HV7;2
Q8JJE2;2
A0A7H0DMZ8;2
A3DRP5;2
F5H9Z4;2
F5HF35;2
O36415;2
P05398;2
P09520;2
P0DOP1;2
P0DOP7;2
P0DSU1;2
P12828;2
P13144;2
P16750;2
P17590;2
P18558;2
A3RM22;2
P20988;2
B2BNE9;2
P23169;2
Q1KZ55;2
Q4JQX3;2
Q5K037;2
P41656;2
Q01047;2
Q04265;2
P68612;2
Q8QMY0;2
P68720;2
P11641;2
P68707;2
P15631;2
P17146;2
P22114;2
P52525;2
Q02967;2
Q64846;2
Q9YMG2;2
P68598;2
P17370;2
P18377;2
P24358;2
P68692;2
P68605;2
P68462;2
P68456;2
P68716;2
P03295;2
P12924;2
A0A7H0DND8;2
F5HAE6;2
O10286;2
O10333;2
P09279;2
P21093;2
P34051;2
P41483;2
Q65188;2
M1L9Q3;2
O10367;2
Q69553;2
Q69557;2
Q82681;2
P10240;2
Q85320;2
O70790;2
P21607;2
P68446;2
P23372;2
A0A7H0DND3;2
P0C6L1;2
P11203;1
P11222;2
P15199;2
P16740;2
P20225;2
Q66628;2
Q77TL8;2
Q83453;2
Q9E6N4;2
P0CAH8;2
P0CA40;2
P18346;2
Q77Q36;2
P0CK21;2
P16714;2
A3DSK6;2
A3DSK9;2
Q805K3;2
F5HF90;2
A0A0S2SZX3;2
A0A346LU62;2
A0A7H0DN15;2
A0MD32;2
A3DRP9;2
Q1HVG2;2
A3EX99;2
A3EXD5;2
A4GBY2;2
A4KX74;2
A4PBP8;2
A4PBP9;2
A4UHQ6;2
A9CB85;2
A9JLI5;2
P09288;2
B1PS79;2
B2BNE2;2
P03547;2
B9UYK6;2
D0UFC7;2
D8V071;2
F5H8R0;2
F5H9W4;2
F5H982;3
A0A7H0DN73;3
A4GCM3;3
A0A7H0DNB3;3
D8V070;3
O36367;3
O64306;3
P0C9A6;3
P0CW79;3
P0DOM1;3
P0DOO2;3
P30816;3
P60528;3
P24486;3
P26685;3
P31616;3
Q88435;3
Q86207;3
P10471;3
Q3YPH5;3
Q9PX75;3
Q6J859;3
Q03243;3
P36845;3
Q96676;3
V9LLX6;3
Q99153;3
Q98229;3
Q96629;3
Q89581;3
Q05569;3
Q80HT9;3
A3DSK5;3
A4GCK1;3
B1NKR3;3
P28859;3
P68881;3
Q85036;3
Q8QNT0;3
P08028;3
Q9QNB3;3
Q9YUS3;3
A0A7H0DN74;3
A0A7H0DNA3;3
